,term,line,name,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
1553,202109,2호선,왕십리(성동구청),26073,15505,19272,14902,22996,23025,37.561533,127.037732
1554,202109,5호선,왕십리(성동구청),5666,9505,5598,6523,8484,7379,37.561533,127.037732
1555,202109,경원선,왕십리(성동구청),25101,14387,16786,20345,21347,33150,37.561533,127.037732
1556,202109,경의선,운정,19658,6820,7749,6224,5725,14422,37.725826,126.767257
1557,202109,5호선,마포,20044,35773,13926,13041,24884,17605,37.539574,126.945932
1558,202109,7호선,춘의,17747,28595,8585,7086,17858,12725,37.503663,126.787036
1559,202109,3호선,오금,18802,6886,6434,5312,5442,11667,37.502162,127.128111
1560,202109,5호선,길동,17798,10790,10798,10633,9099,15043,37.537801,127.140004
1561,202109,6호선,역촌,11802,4806,4910,4934,3056,9886,37.606021,126.922744
1562,202109,경춘선,사릉,10507,4760,3746,3055,3343,7236,37.65108,127.176933
1563,202109,경부선,병점,30860,18245,17918,14621,18001,29545,37.207503,127.032731
1564,202109,7호선,공릉(서울과학기술대),28359,14118,15326,13218,12389,23579,37.625742,127.072896
1565,202109,경부선,서동탄,4448,1185,1436,1268,1197,2903,37.195504,127.051672
1566,202109,경부선,성환,4768,9515,6715,5351,6510,5191,36.916076,127.126964
1567,202109,5호선,신정(은행정),49521,8385,13346,10690,8185,26716,37.524997,126.856191
1568,202109,경부선,의왕,20264,16602,9221,7807,12096,15872,37.320852,126.948217
1569,202109,경부선,오산,16825,17426,14075,12054,15384,18007,37.145885,127.06672
1570,202109,경인선,주안,42040,19398,24305,18840,22220,35420,37.464941,126.679923
1571,202109,2호선,을지로4가,4580,41551,15555,15471,28760,5433,37.566941,126.998079
1572,202109,5호선,을지로4가,1565,21575,6529,7176,14649,2240,37.566941,126.998079
1573,202109,7호선,도봉산,31594,11325,10475,12660,6612,23821,37.689313,127.046222
1574,202109,7호선,상봉(시외버스터미널),44624,18679,18871,17126,19698,33730,37.596362,127.085032
1575,202109,경원선,도봉산,16426,8130,15375,11678,9894,6591,37.689313,127.046222
1576,202109,3호선,안국,6654,64976,23061,29157,48886,9908,37.576477,126.985443
1577,202109,6호선,창신,10649,4176,3917,2792,2803,5568,37.579661,127.015241
1578,202109,경부선,영등포,35713,76020,46492,58685,81674,50551,37.515504,126.907628
1579,202109,7호선,상동,25976,19775,14677,16002,18482,24682,37.505781,126.753083
1580,202109,중앙선,양정,1450,1856,1221,866,1305,869,37.60533,127.19364
1581,202109,경인선,제물포,25482,15359,13584,10183,10855,19436,37.466769,126.656666
1582,202109,3호선,신사,11142,82224,30184,42661,75508,26415,37.516334,127.020114
1583,202109,6호선,응암,56102,12162,20995,17841,12932,42236,37.598605,126.915577
1584,202109,7호선,상도,28361,11010,12672,10899,10203,20971,37.502834,126.94791
1585,202109,경부선,오산대,7033,4690,4471,3700,4360,6157,37.168953,127.063197
