area_type,code,area_name,lon,lat,area_store,area_sim_store,tot_customer,avg_take
골목상권,1000275,보문로26길,127.02135356029717,37.58720469334632,2.2857142857142856,2.2857142857142856,173264.67741935485,45304590.0
골목상권,1000276,보문로31길,127.01568136950489,37.58816964537452,7.428571428571429,7.714285714285714,376145.48387096776,77380562.4375
발달상권,1001045,동작구 총신대입구역_1,126.9808235857054,37.48597765914372,16.428571428571427,21.285714285714285,1137176.7419354839,1282810392.0
발달상권,1001046,서울 관악구 신림역_4,126.9302137115341,37.486436139402514,14.0,20.857142857142858,956831.0,518480351.25
발달상권,1001047,뱅뱅사거리_1,127.03346945025531,37.48862343831305,10.142857142857142,11.142857142857142,268116.4516129032,370725814.5
발달상권,1001048,뱅뱅사거리,127.02982945599554,37.49098505346684,13.428571428571429,18.285714285714285,479065.48387096776,1929482269.0625
발달상권,1001049,개봉동 현대아파트 인근,126.85579690602577,37.48956732297291,8.0,9.0,444540.1935483871,70770256.6875
발달상권,1001050,교대역_1,127.01156764763162,37.490790031276504,53.285714285714285,81.28571428571429,1741413.2258064516,3375599998.25
발달상권,1001260,창동역,127.04899997749135,37.652806377355745,7.714285714285714,20.571428571428573,592865.2258064516,776116411.3125
발달상권,1001261,서울 노원구 노원역_1,127.0626902470538,37.65411533094399,3.5714285714285716,10.571428571428571,585903.2580645161,1210922941.375
발달상권,1001262,서울 노원구 노원역_2,127.05890567576205,37.654639851230215,2.142857142857143,7.857142857142857,344235.8387096774,319095785.4375
발달상권,1001263,서울 노원구 노원역_3,127.0625105241541,37.65601649888629,24.714285714285715,44.0,1473688.1612903227,4353173813.125
발달상권,1001217,서울 종로구 종로5가역_1,127.0013923109485,37.570421097077954,2.142857142857143,2.142857142857143,270033.77419354836,250393238.625
발달상권,1001255,서울 은평구 연신내역_3,126.92047159847978,37.62069666168165,0.0,1.0,119219.7741935484,40237841.0625
발달상권,1001259,서울 강북구 수유역_3,127.0272040015457,37.64085736435166,4.714285714285714,7.714285714285714,274755.7419354839,61847539.0625
전통시장,1001310,구의시장,127.08846716777747,37.54550242151623,0.42857142857142855,0.42857142857142855,19224.548387096773,45304590.0
전통시장,1001322,동부시장,127.05259999071382,37.56730095286713,0.0,0.0,67930.16129032258,45304590.0
전통시장,1001323,답십리시장,127.05819657291528,37.57364133312369,2.5714285714285716,2.5714285714285716,134408.32258064515,45304590.0
전통시장,1001324,전곡시장,127.06883022580342,37.57808652423727,0.0,2.0,18333.41935483871,146134518.875
전통시장,1001325,청량리청과물시장,127.04318987696023,37.58011691623963,4.0,4.0,137283.83870967742,23071960.375
전통시장,1001451,사당시장,126.97513722688751,37.483003271393486,3.0,3.0,36428.1935483871,45304590.0
전통시장,1001468,남부종합시장,126.98489227985215,37.49477208354063,0.0,0.0,30869.677419354837,45304590.0
전통시장,1001469,양재시장,127.0383066275842,37.4840718777507,1.4285714285714286,1.4285714285714286,44297.16129032258,45304590.0
전통시장,1001407,등마루시장,126.86016068133681,37.556706219310875,0.0,0.0,19073.645161290322,45304590.0
전통시장,1001408,신월중앙시장,126.84434565394928,37.5588488207642,1.0,1.0,25026.677419354837,43639714.9375
전통시장,1001450,남성역골목시장,126.97245743180964,37.48348922176638,2.0,4.428571428571429,275676.0,117422153.75
발달상권,1001042,서울 서초구 남부터미널역_3,127.0161915795939,37.48678000320049,5.571428571428571,9.571428571428571,384326.1935483871,652370702.625
발달상권,1001043,동작구 총신대입구역_2,126.98302843524853,37.48591492585732,10.0,15.857142857142858,886334.2903225806,261130139.9375
발달상권,1001044,양재역_3,127.03115058953671,37.48651571376833,19.714285714285715,27.714285714285715,771500.0,1223439700.1875
발달상권,1001030,양재역_2,127.0363616986534,37.48365802839606,4.571428571428571,9.0,509256.1612903226,843119437.125
발달상권,1001031,서울 관악구 신림역_1,126.92883756748512,37.4829574265654,15.285714285714286,24.571428571428573,962389.6774193548,3150360901.25
발달상권,1001032,서울 관악구 신림역_2,126.93080498641467,37.482841464045244,3.4285714285714284,13.0,241619.64516129033,1362228094.75
발달상권,1001033,서울 서초구 남부터미널역_1,127.01878025964147,37.48431986735238,14.714285714285714,18.428571428571427,263337.8064516129,756528663.3125
골목상권,1000379,동일로173가길,127.07243887072359,37.622043697935894,5.571428571428571,5.571428571428571,591910.7741935484,43642546.9375
골목상권,1000380,동일로192길,127.0755690585679,37.62581687022158,7.714285714285714,14.142857142857142,589727.1290322581,678990778.9375
골목상권,1000381,동일로242길,127.05866096147015,37.67488501157822,7.714285714285714,8.857142857142858,279855.87096774194,141537328.625
골목상권,1000071,이태원로54길,127.00136905188955,37.536543574586496,39.5,41.5,249567.25806451612,2210738813.5625
골목상권,1000072,장문로45길,127.00046384506732,37.52870487172285,1.8333333333333333,1.8333333333333333,318425.12903225806,2142720.75
골목상권,1000073,청파로47길,126.96792002437306,37.544549114266864,33.166666666666664,45.0,742416.3548387097,2092579554.125
전통시장,1001490,길동복조리시장,127.14367486055193,37.538447392541784,4.428571428571429,4.714285714285714,442639.6451612903,50524384.125
전통시장,1001332,사가정시장,127.09044539460683,37.58126145968097,0.14285714285714285,1.8571428571428572,401253.2580645161,78604804.375
전통시장,1001333,중화제일시장,127.07544588440813,37.604814912176174,2.857142857142857,2.857142857142857,167809.06451612903,13135261.875
전통시장,1001334,태능시장,127.07653767941356,37.59826400907771,1.0,1.0,187784.32258064515,45304590.0
전통시장,1001335,묵1동도깨비시장,127.0809514877725,37.616875506063934,2.142857142857143,2.142857142857143,102475.41935483871,132240550.75
